iter	Passed	Remaining
0	153	153802
1	160	80282
2	168	56047
3	175	43810
4	184	36775
5	192	31916
6	201	28630
7	209	26032
8	218	24086
9	226	22432
10	233	21029
11	242	20002
12	250	19017
13	262	18468
14	271	17834
15	292	17978
16	299	17320
17	306	16726
18	315	16291
19	322	15817
20	330	15398
21	337	14984
22	343	14606
23	350	14268
24	358	13978
25	365	13690
26	373	13445
27	380	13215
28	388	13011
29	401	12985
30	410	12823
31	421	12751
32	430	12611
33	437	12435
34	449	12398
35	463	12409
36	476	12412
37	488	12363
38	497	12260
39	510	12249
40	524	12273
41	536	12240
42	548	12204
43	557	12108
44	566	12012
45	574	11904
46	590	11974
47	600	11917
48	614	11925
49	629	11953
50	646	12030
51	668	12195
52	690	12338
53	706	12375
54	719	12359
55	733	12362
56	745	12335
57	754	12257
58	764	12194
59	773	12121
60	783	12059
61	793	12002
62	800	11912
63	809	11841
64	817	11764
65	826	11701
66	833	11608
67	841	11529
68	848	11449
69	856	11380
70	864	11305
71	871	11231
72	879	11165
73	886	11097
74	894	11033
75	902	10968
76	909	10897
77	916	10831
78	923	10762
79	929	10693
80	937	10638
81	944	10578
82	953	10534
83	960	10475
84	967	10415
85	973	10350
86	980	10287
87	986	10224
88	993	10168
89	1001	10126
90	1009	10086
91	1018	10051
92	1027	10016
93	1036	9985
94	1048	9985
95	1056	9949
96	1064	9909
97	1071	9864
98	1080	9835
99	1093	9840
100	1103	9825
101	1117	9838
102	1131	9852
103	1152	9931
104	1169	9967
105	1184	9986
106	1193	9958
107	1204	9944
108	1217	9955
109	1238	10021
110	1257	10073
111	1274	10101
112	1287	10109
113	1298	10090
114	1308	10069
115	1319	10052
116	1330	10037
117	1346	10067
118	1373	10167
119	1384	10152
120	1394	10127
121	1419	10215
122	1435	10237
123	1444	10205
124	1452	10166
125	1463	10154
126	1473	10125
127	1480	10087
128	1492	10077
129	1502	10054
130	1512	10033
131	1524	10026
132	1533	9996
133	1541	9964
134	1550	9931
135	1558	9899
136	1566	9866
137	1573	9828
138	1582	9802
139	1591	9774
140	1598	9741
141	1605	9702
142	1613	9668
143	1619	9627
144	1626	9590
145	1633	9553
146	1639	9515
147	1646	9481
148	1653	9443
149	1661	9414
150	1669	9384
151	1680	9373
152	1688	9345
153	1696	9317
154	1704	9293
155	1715	9283
156	1726	9269
157	1739	9267
158	1750	9261
159	1762	9253
160	1774	9249
161	1791	9264
162	1805	9270
163	1818	9269
164	1834	9285
165	1842	9257
166	1852	9240
167	1860	9213
168	1875	9220
169	1886	9212
170	1908	9254
171	1919	9239
172	1929	9223
173	1942	9218
174	1952	9202
175	1963	9193
176	1982	9217
177	1993	9207
178	2001	9180
179	2010	9158
180	2018	9134
181	2045	9192
182	2064	9214
183	2079	9222
184	2087	9198
185	2095	9168
186	2110	9176
187	2120	9157
188	2126	9124
189	2132	9093
190	2139	9061
191	2145	9029
192	2152	9000
193	2159	8971
194	2166	8942
195	2173	8916
196	2180	8887
197	2187	8859
198	2194	8831
199	2202	8808
200	2209	8782
201	2216	8758
202	2224	8731
203	2231	8708
204	2238	8681
205	2245	8654
206	2252	8629
207	2260	8607
208	2267	8582
209	2274	8557
210	2282	8534
211	2289	8510
212	2296	8485
213	2304	8464
214	2311	8440
215	2318	8416
216	2326	8392
217	2332	8367
218	2341	8348
219	2348	8326
220	2355	8303
221	2363	8282
222	2370	8260
223	2379	8241
224	2386	8218
225	2393	8196
226	2400	8172
227	2407	8150
228	2414	8127
229	2421	8105
230	2428	8083
231	2435	8061
232	2441	8037
233	2449	8019
234	2455	7994
235	2464	7978
236	2471	7956
237	2478	7935
238	2486	7916
239	2493	7897
240	2500	7876
241	2507	7855
242	2514	7832
243	2521	7811
244	2528	7791
245	2535	7770
246	2542	7750
247	2549	7731
248	2556	7711
249	2564	7693
250	2572	7675
251	2579	7656
252	2586	7637
253	2593	7617
254	2601	7600
255	2607	7578
256	2614	7559
257	2621	7539
258	2628	7519
259	2634	7497
260	2640	7477
261	2647	7458
262	2654	7438
263	2661	7420
264	2668	7400
265	2673	7378
266	2680	7357
267	2686	7338
268	2694	7323
269	2702	7307
270	2711	7293
271	2724	7292
272	2738	7292
273	2753	7294
274	2763	7285
275	2774	7277
276	2784	7268
277	2795	7259
278	2807	7255
279	2816	7242
280	2825	7230
281	2833	7214
282	2842	7201
283	2852	7190
284	2860	7175
285	2869	7164
286	2880	7155
287	2890	7144
288	2898	7130
289	2907	7119
290	2917	7109
291	2926	7095
292	2934	7082
293	2942	7065
294	2950	7051
295	2958	7035
296	2965	7019
297	2973	7005
298	2981	6990
299	2989	6976
300	2997	6961
301	3005	6945
302	3013	6932
303	3021	6917
304	3030	6905
305	3039	6892
306	3047	6878
307	3056	6867
308	3065	6854
309	3072	6839
310	3082	6829
311	3093	6821
312	3102	6809
313	3111	6796
314	3118	6782
315	3127	6769
316	3136	6757
317	3145	6745
318	3152	6730
319	3159	6714
320	3166	6698
321	3173	6682
322	3180	6666
323	3187	6651
324	3195	6636
325	3203	6622
326	3210	6607
327	3217	6592
328	3225	6577
329	3233	6565
330	3241	6551
331	3249	6537
332	3261	6533
333	3271	6523
334	3280	6512
335	3290	6501
336	3299	6491
337	3311	6485
338	3327	6488
339	3337	6479
340	3352	6477
341	3368	6481
342	3379	6473
343	3390	6466
344	3410	6474
345	3421	6466
346	3432	6460
347	3445	6454
348	3454	6443
349	3465	6435
350	3476	6428
351	3486	6418
352	3496	6409
353	3508	6402
354	3518	6392
355	3535	6396
356	3549	6392
357	3560	6385
358	3571	6376
359	3582	6368
360	3590	6356
361	3601	6346
362	3611	6337
363	3619	6324
364	3631	6318
365	3642	6309
366	3650	6297
367	3659	6283
368	3666	6270
369	3673	6255
370	3682	6242
371	3691	6231
372	3699	6218
373	3708	6206
374	3715	6192
375	3727	6186
376	3736	6173
377	3747	6166
378	3759	6160
379	3772	6155
380	3788	6155
381	3802	6152
382	3816	6148
383	3828	6141
384	3839	6133
385	3852	6127
386	3863	6119
387	3876	6114
388	3884	6101
389	3894	6091
390	3905	6082
391	3913	6069
392	3921	6057
393	3930	6045
394	3940	6034
395	3949	6024
396	3958	6012
397	3966	6000
398	3977	5990
399	3990	5985
400	4000	5975
401	4009	5964
402	4017	5951
403	4026	5939
404	4040	5936
405	4048	5923
406	4057	5911
407	4067	5902
408	4099	5923
409	4112	5918
410	4123	5908
411	4136	5904
412	4147	5894
413	4157	5884
414	4168	5875
415	4177	5865
416	4190	5858
417	4200	5848
418	4210	5838
419	4222	5830
420	4231	5819
421	4239	5807
422	4250	5797
423	4265	5794
424	4276	5785
425	4284	5773
426	4293	5761
427	4301	5748
428	4309	5735
429	4316	5722
430	4324	5709
431	4332	5696
432	4340	5683
433	4348	5671
434	4358	5660
435	4379	5665
436	4406	5677
437	4424	5677
438	4439	5673
439	4447	5660
440	4456	5648
441	4463	5635
442	4477	5630
443	4485	5617
444	4494	5605
445	4501	5591
446	4507	5576
447	4513	5561
448	4520	5547
449	4526	5532
450	4533	5518
451	4540	5505
452	4548	5492
453	4555	5478
454	4561	5464
455	4568	5450
456	4575	5436
457	4583	5424
458	4591	5411
459	4599	5399
460	4607	5386
461	4617	5377
462	4625	5364
463	4631	5350
464	4638	5336
465	4645	5323
466	4654	5311
467	4661	5299
468	4672	5290
469	4681	5279
470	4695	5273
471	4711	5270
472	4721	5260
473	4731	5250
474	4743	5243
475	4755	5234
476	4767	5227
477	4776	5215
478	4789	5208
479	4800	5200
480	4811	5191
481	4822	5182
482	4836	5176
483	4846	5167
484	4867	5168
485	4880	5161
486	4890	5151
487	4909	5151
488	4923	5145
489	4935	5136
490	4960	5142
491	4977	5139
492	4990	5131
493	5002	5124
494	5014	5115
495	5052	5134
496	5065	5126
497	5077	5117
498	5088	5108
499	5098	5098
500	5110	5089
501	5129	5088
502	5157	5095
503	5182	5100
504	5278	5174
505	5325	5199
506	5344	5196
507	5356	5187
508	5366	5176
509	5385	5174
510	5427	5193
511	5443	5188
512	5457	5180
513	5470	5172
514	5486	5167
515	5504	5163
516	5523	5160
517	5540	5155
518	5559	5152
519	5573	5144
520	5584	5134
521	5601	5129
522	5617	5123
523	5636	5120
524	5668	5128
525	5693	5130
526	5742	5154
527	5770	5158
528	5786	5152
529	5805	5147
530	5828	5148
531	5859	5154
532	5880	5152
533	5911	5159
534	5933	5157
535	5947	5148
536	5962	5140
537	5974	5130
538	5985	5119
539	5994	5106
540	6004	5094
541	6014	5082
542	6026	5072
543	6037	5060
544	6049	5050
545	6061	5040
546	6071	5027
547	6087	5020
548	6099	5010
549	6111	4999
550	6120	4987
551	6128	4973
552	6135	4959
553	6143	4945
554	6151	4932
555	6159	4918
556	6172	4908
557	6180	4895
558	6189	4882
559	6198	4870
560	6210	4859
561	6219	4847
562	6228	4834
563	6238	4822
564	6248	4811
565	6260	4800
566	6278	4794
567	6292	4785
568	6306	4776
569	6319	4767
570	6331	4756
571	6341	4745
572	6352	4733
573	6365	4724
574	6377	4713
575	6390	4704
576	6403	4694
577	6420	4687
578	6432	4677
579	6467	4683
580	6481	4674
581	6489	4661
582	6500	4649
583	6512	4639
584	6524	4628
585	6535	4617
586	6547	4606
587	6558	4595
588	6572	4586
589	6583	4574
590	6593	4563
591	6605	4552
592	6616	4541
593	6625	4528
594	6636	4517
595	6656	4512
596	6668	4501
597	6691	4498
598	6706	4489
599	6738	4492
600	6771	4495
601	6784	4485
602	6802	4478
603	6816	4469
604	6828	4458
605	6840	4447
606	6865	4444
607	6875	4432
608	6886	4421
609	6918	4423
610	6929	4411
611	6940	4400
612	6949	4387
613	6957	4374
614	6965	4360
615	6973	4347
616	6982	4334
617	6989	4320
618	6997	4307
619	7006	4294
620	7024	4287
621	7036	4276
622	7046	4264
623	7058	4252
624	7067	4240
625	7079	4229
626	7093	4219
627	7103	4207
628	7111	4194
629	7120	4181
630	7128	4168
631	7138	4156
632	7145	4142
633	7153	4129
634	7160	4115
635	7167	4102
636	7174	4088
637	7182	4075
638	7189	4061
639	7197	4048
640	7204	4034
641	7212	4021
642	7219	4008
643	7228	3995
644	7238	3983
645	7247	3971
646	7256	3959
647	7267	3947
648	7276	3935
649	7290	3925
650	7299	3913
651	7307	3900
652	7319	3889
653	7329	3877
654	7337	3864
655	7346	3852
656	7355	3840
657	7366	3828
658	7378	3817
659	7387	3805
660	7396	3793
661	7405	3781
662	7414	3768
663	7425	3757
664	7440	3748
665	7453	3737
666	7466	3727
667	7482	3718
668	7493	3707
669	7510	3698
670	7520	3687
671	7530	3675
672	7543	3665
673	7552	3653
674	7563	3641
675	7574	3630
676	7584	3618
677	7594	3606
678	7602	3594
679	7611	3581
680	7620	3569
681	7629	3557
682	7640	3546
683	7649	3533
684	7658	3521
685	7669	3510
686	7680	3499
687	7688	3486
688	7716	3483
689	7732	3474
690	7740	3461
691	7747	3448
692	7754	3435
693	7770	3426
694	7778	3413
695	7786	3400
696	7794	3388
697	7802	3375
698	7809	3363
699	7817	3350
700	7824	3337
701	7830	3324
702	7837	3311
703	7843	3297
704	7849	3284
705	7856	3271
706	7863	3258
707	7869	3245
708	7876	3232
709	7884	3220
710	7892	3207
711	7898	3194
712	7905	3181
713	7912	3169
714	7921	3157
715	7930	3145
716	7939	3133
717	7950	3122
718	7962	3111
719	7971	3100
720	7980	3088
721	7989	3076
722	8001	3065
723	8011	3054
724	8024	3043
725	8032	3031
726	8040	3019
727	8049	3007
728	8057	2995
729	8066	2983
730	8080	2973
731	8089	2961
732	8100	2950
733	8110	2939
734	8120	2927
735	8129	2916
736	8141	2905
737	8149	2893
738	8160	2882
739	8171	2870
740	8180	2859
741	8190	2847
742	8199	2836
743	8208	2824
744	8217	2812
745	8228	2801
746	8237	2790
747	8246	2778
748	8256	2766
749	8266	2755
750	8274	2743
751	8281	2731
752	8291	2719
753	8305	2709
754	8316	2698
755	8328	2687
756	8338	2676
757	8347	2664
758	8357	2653
759	8368	2642
760	8377	2630
761	8387	2619
762	8395	2607
763	8406	2596
764	8414	2584
765	8422	2572
766	8429	2560
767	8436	2548
768	8444	2536
769	8451	2524
770	8458	2512
771	8466	2500
772	8474	2488
773	8483	2476
774	8490	2464
775	8498	2453
776	8505	2441
777	8512	2429
778	8519	2416
779	8525	2404
780	8532	2392
781	8539	2380
782	8546	2368
783	8553	2356
784	8563	2345
785	8570	2333
786	8577	2321
787	8585	2309
788	8592	2297
789	8599	2285
790	8607	2274
791	8614	2262
792	8621	2250
793	8629	2238
794	8636	2226
795	8644	2215
796	8653	2203
797	8661	2192
798	8669	2180
799	8678	2169
800	8685	2157
801	8691	2145
802	8697	2133
803	8703	2121
804	8709	2109
805	8714	2097
806	8720	2085
807	8726	2073
808	8731	2061
809	8737	2049
810	8743	2037
811	8750	2026
812	8757	2014
813	8764	2002
814	8771	1991
815	8779	1979
816	8787	1968
817	8794	1956
818	8803	1945
819	8811	1934
820	8818	1922
821	8826	1911
822	8834	1900
823	8844	1889
824	8853	1878
825	8866	1867
826	8884	1858
827	8892	1847
828	8903	1836
829	8913	1825
830	8926	1815
831	8937	1804
832	8945	1793
833	8952	1782
834	8963	1771
835	8972	1760
836	8981	1749
837	8991	1738
838	8998	1726
839	9008	1715
840	9020	1705
841	9029	1694
842	9040	1683
843	9049	1672
844	9059	1661
845	9068	1650
846	9076	1639
847	9087	1628
848	9097	1617
849	9105	1606
850	9114	1595
851	9121	1584
852	9130	1573
853	9142	1563
854	9152	1552
855	9160	1541
856	9170	1530
857	9178	1519
858	9186	1507
859	9194	1496
860	9201	1485
861	9208	1474
862	9214	1462
863	9221	1451
864	9229	1440
865	9236	1429
866	9243	1418
867	9252	1407
868	9260	1396
869	9268	1384
870	9276	1373
871	9284	1362
872	9291	1351
873	9300	1340
874	9308	1329
875	9317	1318
876	9327	1308
877	9335	1297
878	9342	1286
879	9349	1274
880	9359	1264
881	9369	1253
882	9377	1242
883	9384	1231
884	9392	1220
885	9399	1209
886	9407	1198
887	9414	1187
888	9421	1176
889	9428	1165
890	9435	1154
891	9442	1143
892	9450	1132
893	9457	1121
894	9465	1110
895	9472	1099
896	9480	1088
897	9487	1077
898	9495	1066
899	9503	1055
900	9511	1045
901	9526	1035
902	9536	1024
903	9543	1013
904	9551	1002
905	9558	991
906	9567	980
907	9579	970
908	9596	960
909	9610	950
910	9621	939
911	9636	929
912	9649	919
913	9659	908
914	9680	899
915	9690	888
916	9698	877
917	9705	866
918	9713	856
919	9720	845
920	9729	834
921	9738	823
922	9746	813
923	9754	802
924	9762	791
925	9769	780
926	9776	769
927	9783	759
928	9790	748
929	9797	737
930	9803	726
931	9810	715
932	9817	705
933	9825	694
934	9833	683
935	9840	672
936	9850	662
937	9863	651
938	9879	641
939	9894	631
940	9903	620
941	9914	610
942	9923	599
943	9933	589
944	9943	578
945	9954	568
946	9965	557
947	9975	547
948	9983	536
949	9991	525
950	9998	515
951	10006	504
952	10014	493
953	10022	483
954	10031	472
955	10038	462
956	10046	451
957	10054	440
958	10061	430
959	10069	419
960	10077	408
961	10084	398
962	10093	387
963	10101	377
964	10108	366
965	10116	356
966	10124	345
967	10131	334
968	10139	324
969	10146	313
970	10154	303
971	10163	292
972	10171	282
973	10180	271
974	10189	261
975	10198	250
976	10207	240
977	10215	229
978	10225	219
979	10238	208
980	10246	198
981	10257	188
982	10267	177
983	10277	167
984	10286	156
985	10294	146
986	10301	135
987	10309	125
988	10317	114
989	10326	104
990	10335	93
991	10342	83
992	10350	72
993	10358	62
994	10366	52
995	10374	41
996	10382	31
997	10390	20
998	10398	10
999	10405	0
